faq_id,category,question,answer
faq_040,Registration,Can I register for a course if I have a hold on my account?,"No, students with holds on their account will not be allowed to register for courses. Holds are placed on student accounts for various reasons, such as financial obligations or incomplete paperwork. Students must resolve the issue that is causing the hold before registering for courses. Contact the relevant department or office for assistance."
faq_041,IT Support,How do I reset my university login password?,"To reset your university login password, please visit the password reset webpage and follow the instructions. If you encounter any issues, contact the IT Support team via email at [it-support@university.edu](mailto:it-support@university.edu) or call 555-1234."
faq_042,IT Support,What are the university's Wi-Fi network names and passwords?,The university's Wi-Fi network names are 'University-Wireless-1' and 'University-Wireless-2'. The password for both networks is the same and can be found on the university's website under the IT Support section.
faq_043,IT Support,Can I use my personal laptop or device on the university network?,"Yes, you can use your personal laptop or device on the university network. However, please ensure that your device meets the university's minimum security requirements and is properly configured to connect to the university network."
faq_044,IT Support,How do I troubleshoot my laptop or device for connectivity issues?,"To troubleshoot connectivity issues, please try the following: restart your device, check your network settings, and ensure that your Wi-Fi is enabled. If the issue persists, contact the IT Support team for further assistance."
faq_045,IT Support,What are the university's IT support hours of operation?,The university's IT support team is available Monday through Friday from 8:00 AM to 5:00 PM. You can contact us via email or phone during these hours for assistance.
faq_046,IT Support,Can I use my university email account for personal use?,"No, university email accounts are for official university business only. Personal use of university email accounts is not permitted and may result in account suspension or termination."
faq_047,IT Support,How do I access the university's online course management system?,"To access the university's online course management system, please log in with your university login credentials and navigate to the course page. If you encounter any issues, contact the IT Support team for assistance."
faq_048,IT Support,What are the university's software availability and licensing policies?,The university provides a range of software applications for academic and research purposes. Please visit the university's website under the IT Support section to view the available software and licensing policies.
faq_049,IT Support,Can I use my university email account to send email to external recipients?,"Yes, you can use your university email account to send email to external recipients. However, please ensure that you have the recipient's email address and that the email is for official university business or personal use (as permitted by university policy)."
faq_050,IT Support,How do I report a technical issue or concern to the IT Support team?,"To report a technical issue or concern, please contact the IT Support team via email at [it-support@university.edu](mailto:it-support@university.edu) or call 555-1234. You can also submit a request through the university's online support portal."
faq_051,Health Services,What is the deadline for submitting a medical withdrawal request?,"According to university policy, students must submit a medical withdrawal request within two weeks of the start of the semester or as soon as possible after the onset of the medical condition."
faq_052,Health Services,How do I schedule an appointment with a counselor?,"To schedule an appointment with a counselor, please call the Health Services office at 555-555-5555 or stop by the office in person. Walk-ins are also accepted on a first-come, first-served basis."
faq_053,Health Services,What services are provided by the Health Services office?,"The Health Services office provides a range of services, including medical care, counseling, and health education. We also offer referrals to local healthcare providers and specialists as needed."
faq_054,Health Services,How do I access my health records?,"To access your health records, please contact the Health Services office and request a copy of your records. You will need to provide a valid ID and sign a release form to obtain your records."
faq_055,Health Services,What is the process for getting a vaccination or immunization on campus?,"To get a vaccination or immunization on campus, please contact the Health Services office to schedule an appointment. We offer a range of vaccinations and immunizations, including flu shots and TB tests."
faq_056,Health Services,Can I get a prescription refill from the Health Services office?,"Yes, the Health Services office can provide prescription refills for students who have an existing prescription on file. Please contact the office to arrange for a refill."
faq_057,Health Services,What should I do if I have a medical emergency on campus?,"If you have a medical emergency on campus, please call 911 or contact the University Police Department at 555-555-5555. We also have a first aid kit and basic medical supplies available in the Health Services office."
faq_058,Health Services,How do I know if I'm eligible for health insurance through the university?,"To be eligible for health insurance through the university, you must be a registered student with at least 6 credits per semester. Please contact the Health Services office or visit our website for more information."
faq_059,Health Services,Can I get a mental health assessment or counseling from the Health Services office?,"Yes, the Health Services office provides mental health assessments and counseling services to students. Please contact the office to schedule an appointment and speak with a counselor."
faq_060,Health Services,What is the process for reporting a medical condition or disability to the university?,"To report a medical condition or disability to the university, please contact the Disability Services office or the Health Services office to discuss your options and complete any necessary paperwork."
faq_061,Library,What are the library's hours of operation during finals week?,"The library will have extended hours of operation during finals week, from 8am to 2am, Monday through Thursday, and 8am to 1am on Friday and Saturday. Please check the library's website for the most up-to-date hours."
faq_062,Library,Can I access the library's online resources from off-campus?,"Yes, you can access the library's online resources from off-campus by logging in with your university username and password. Simply click on the 'Off-Campus Access' link on the library's website and follow the prompts."
faq_063,Library,What is the policy on food and drink in the library?,"Food and drink are allowed in the library, but please dispose of your trash and clean up after yourself. Avoid eating strong-smelling foods and refrain from drinking in quiet areas."
faq_064,Library,Can I reserve a study room in the library?,"Yes, you can reserve a study room in the library through our online reservation system. Simply log in to your library account and follow the prompts to reserve a room."
faq_065,Library,What if I lose my university ID card in the library?,"If you lose your university ID card in the library, please report it to the circulation desk immediately. We will assist you in replacing your card and provide you with a temporary ID until it is replaced."
faq_066,Library,Can I use my phone in the library?,"Yes, you can use your phone in the library, but please refrain from making loud phone calls or taking photos in quiet areas."
faq_067,Library,How do I return books that I borrowed from the library?,"You can return books that you borrowed from the library to the circulation desk during business hours. If you are unable to return the book in person, you can also return it through our book drop located outside the library."
faq_068,Library,What if I need help with a research paper or project?,"The library offers research assistance and consulting services to students. Simply visit the research desk and ask to speak with a librarian, or schedule an appointment through our online system."
faq_069,Library,Can I access the library's databases from my laptop or mobile device?,"Yes, you can access the library's databases from your laptop or mobile device through our proxy server. Simply log in with your university username and password and follow the prompts."
faq_070,Library,How do I get a library card if I am not a university student?,"If you are not a university student, you can apply for a community library card through our website. Please fill out the application form and bring it to the library with a valid ID and proof of address."
faq_071,Student Life,What is the deadline for dropping a course without academic penalty?,"According to university policy, students must submit a course drop form by the end of the second week of the semester to avoid academic penalty."
faq_072,Student Life,How do I get involved in student clubs and organizations?,"Students can browse our campus portal to find a list of available clubs and organizations, and contact the club leaders or advisors for more information on how to get involved."
faq_073,Student Life,What are the office hours for the Counseling Center?,"The Counseling Center is open Monday through Friday, 8:30am to 5:00pm, and offers extended hours on Tuesdays and Thursdays until 7:00pm. Students can also schedule appointments online or by phone."
faq_074,Student Life,How do I request a parking permit?,"Students can apply for a parking permit online through our campus portal, and will need to provide their vehicle make, model, and license plate number, as well as their student ID number."
faq_075,Student Life,What are the rules for campus event planning?,"All campus events must be approved by the Events Committee, and students must submit an event proposal form at least two weeks prior to the event date, including details on event purpose, expected attendance, and security arrangements."
faq_076,Student Life,How do I access campus recreational facilities?,"Students can purchase a recreational facility pass online or at the student recreation center, which grants access to facilities such as the gym, pool, and fitness classes."
faq_077,Student Life,What is the procedure for resolving a conflict with a roommate?,"Students experiencing a conflict with a roommate can contact the Resident Advisor or the Office of Residential Life for support and guidance, and may also be able to participate in a mediated conflict resolution process."
faq_078,Student Life,How do I get a refund for a course or program I am registered for but no longer attending?,"Students who wish to withdraw from a course or program must submit a withdrawal form to the Registrar's Office, and will be eligible for a refund according to the university's refund policy."
faq_079,Student Life,What are the guidelines for student conduct and behavior on campus?,"The Student Conduct Code outlines the university's expectations for student behavior, including rules on academic integrity, harassment, and alcohol and substance use. Students are responsible for familiarizing themselves with the Code and adhering to its provisions."
faq_080,Student Life,How do I report a concern or issue about campus safety?,"Students can report concerns or issues about campus safety to the Department of Public Safety, which can be reached by phone, email, or in person, and will investigate and respond to all reports in a timely and confidential manner."
faq_081,Dining,What are the dining hall hours for the spring semester?,"The dining hall hours for the spring semester are as follows: Monday through Thursday, 7:00 AM to 9:00 PM, Friday, 7:00 AM to 8:00 PM, Saturday and Sunday, 10:00 AM to 8:00 PM. Please note that these hours are subject to change, and we recommend checking our website or mobile app for the most up-to-date information."
faq_082,Dining,Can I bring a guest to the dining hall?,"Guests are allowed in the dining hall, but a valid meal plan or cash must be presented for each guest. Please note that guests must be accompanied by a student with a meal plan. For more information, please visit our website or contact our dining services department."
faq_083,Dining,How do I report a food allergy or special dietary need?,"To report a food allergy or special dietary need, please visit our website and fill out the Special Dietary Needs form. You can also contact our dining services department by phone or email. We will work with you to accommodate your needs and ensure your safety in our dining facilities."
faq_084,Dining,Can I use my meal plan at the convenience store?,"Yes, you can use your meal plan to purchase items at the convenience store. However, please note that not all items are eligible for meal plan usage. A list of eligible items can be found on our website or by contacting our dining services department."
faq_085,Dining,How do I get a refund for unused meal plan dollars?,"To request a refund for unused meal plan dollars, please visit our website and fill out the Refund Request form. You will need to provide your student ID number and the amount you wish to refund. Refunds will be processed within 5-7 business days. Please note that refunds are only available for unused meal plan dollars, not for cash or other forms of payment."
faq_086,Dining,Can I use my meal plan at the food trucks on campus?,"Yes, you can use your meal plan to purchase items from the food trucks on campus. However, please note that not all food trucks accept meal plan usage, so it's best to check with the truck vendor or our dining services department to confirm."
faq_087,Dining,What are the options for students with a meal plan during finals week?,"During finals week, students with a meal plan will have access to extended dining hall hours and special finals week menus. Please check our website or mobile app for the most up-to-date information on dining hours and menus during finals week."
faq_088,Dining,Can I share my meal plan with a roommate or friend?,"No, meal plans are non-transferable and cannot be shared with roommates or friends. Each student with a meal plan must have their own individual plan. Please note that attempting to share a meal plan may result in account suspension or other disciplinary action."
faq_089,Dining,How do I purchase additional meal plan dollars?,"To purchase additional meal plan dollars, please visit our website and follow the prompts to add funds to your meal plan. You can also contact our dining services department by phone or email to request assistance with adding funds."
faq_090,Dining,What are the policies for dining hall etiquette?,"We expect all students to follow basic dining hall etiquette, including cleaning up after themselves, not using electronic devices at tables, and respecting the space and belongings of others. Please note that failure to follow these policies may result in account suspension or other disciplinary action."
faq_091,Career Services,What is the deadline for job fair registration?,"According to university policy, students must submit their registration forms by the 15th of the previous month to secure a spot at the upcoming job fair. Late submissions will be accepted on a space-available basis."
faq_092,Career Services,How can I schedule a career counseling appointment?,"To schedule a career counseling appointment, please log in to your student portal and click on the 'Career Services' tab. From there, you can select a date and time that suits your schedule and confirm your appointment."
faq_093,Career Services,What is the process for internships and co-op placements?,"To apply for internships and co-op placements, students must first meet with a career counselor to discuss their goals and interests. The counselor will then guide the student through the application process, which typically involves submitting a resume, cover letter, and any additional materials required by the employer."
faq_094,Career Services,Can I get help with resume and cover letter writing?,"Yes, Career Services offers one-on-one resume and cover letter writing assistance. Students can schedule an appointment with a career counselor who will review their materials and provide feedback and suggestions for improvement."
faq_095,Career Services,How can I access career resources and job listings?,"Career resources and job listings can be accessed through the university's job board, which is available on the student portal. Students can also search for job listings on external websites and databases, which are provided by the university's career services team."
faq_096,Career Services,What is the policy on confidentiality and disclosure of student information?,"The university is committed to maintaining the confidentiality of student information. Career Services will only disclose student information to employers with the student's explicit consent, and only as necessary to facilitate the job search process."
faq_097,Career Services,Can I get help with networking and making connections in my industry?,"Yes, Career Services offers workshops and one-on-one coaching on networking and making connections in your industry. Students can also attend career fairs and industry-specific events to connect with professionals in their field."
faq_098,Career Services,What are the eligibility requirements for career services?,"Career Services are available to all currently enrolled students, as well as recent graduates within a certain time frame. Students must also be in good academic standing and meet other eligibility requirements as outlined in the university's career services policy."
faq_099,Career Services,Can I get help with graduate school applications?,"Yes, Career Services offers assistance with graduate school applications, including resume and personal statement review, as well as guidance on the application process. Students can schedule an appointment with a career counselor to discuss their goals and receive support."
faq_100,Career Services,How can I get involved in career-related extracurricular activities?,"To get involved in career-related extracurricular activities, students can search for clubs and organizations on campus that align with their interests. They can also attend career fairs and industry-specific events to connect with professionals in their field and learn about volunteer and internship opportunities."
`
